,2016-11-17 00:00:00,2016-11-17 00:30:00,2016-11-17 01:00:00,2016-11-17 01:30:00,2016-11-17 02:00:00,2016-11-17 02:30:00,2016-11-17 03:00:00,2016-11-17 03:30:00,2016-11-17 04:00:00,2016-11-17 04:30:00,2016-11-17 05:00:00,2016-11-17 05:30:00,2016-11-17 06:00:00,2016-11-17 06:30:00,2016-11-17 07:00:00,2016-11-17 07:30:00,2016-11-17 08:00:00,2016-11-17 08:30:00,2016-11-17 09:00:00,2016-11-17 09:30:00,2016-11-17 10:00:00,2016-11-17 10:30:00,2016-11-17 11:00:00,2016-11-17 11:30:00,2016-11-17 12:00:00,2016-11-17 12:30:00,2016-11-17 13:00:00,2016-11-17 13:30:00,2016-11-17 14:00:00,2016-11-17 14:30:00,2016-11-17 15:00:00,2016-11-17 15:30:00,2016-11-17 16:00:00,2016-11-17 16:30:00,2016-11-17 17:00:00,2016-11-17 17:30:00,2016-11-17 18:00:00,2016-11-17 18:30:00,2016-11-17 19:00:00,2016-11-17 19:30:00,2016-11-17 20:00:00,2016-11-17 20:30:00,2016-11-17 21:00:00,2016-11-17 21:30:00,2016-11-17 22:00:00,2016-11-17 22:30:00,2016-11-17 23:00:00,2016-11-17 23:30:00,2016-11-18 00:00:00
1497504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
1318744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
988166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
1539161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
14671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
1248658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
1277397,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,
53559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
394966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
1153039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
1284721,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,
1461355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
1561913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
225755,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
996533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
1056301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
1237601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
1502808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
49482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
115330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
124791,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,
272254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
356747,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
124355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
254224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
456670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
567129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
916611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
81402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
132135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
184304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
